iter	Passed	Remaining
0	50	50384
1	51	25483
2	51	17208
3	52	13127
4	53	10644
5	54	8974
6	54	7784
7	55	6887
8	56	6194
9	56	5638
10	57	5193
11	58	4840
12	59	4533
13	60	4264
14	61	4037
15	62	3829
16	62	3642
17	63	3471
18	64	3325
19	65	3189
20	65	3070
21	66	2956
22	67	2851
23	67	2751
24	68	2660
25	68	2577
26	69	2512
27	70	2442
28	71	2377
29	71	2317
30	72	2265
31	73	2210
32	73	2156
33	74	2104
34	74	2057
35	75	2011
36	75	1969
37	76	1934
38	76	1896
39	77	1860
40	78	1825
41	78	1795
42	79	1764
43	79	1735
44	80	1705
45	80	1678
46	81	1651
47	81	1624
48	82	1602
49	83	1579
50	83	1558
51	84	1540
52	85	1520
53	85	1501
54	86	1482
55	86	1465
56	87	1446
57	87	1428
58	88	1411
59	88	1394
60	89	1379
61	90	1363
62	90	1349
63	91	1334
64	91	1321
65	92	1307
66	92	1293
67	93	1279
68	93	1266
69	94	1253
70	94	1241
71	95	1230
72	96	1219
73	96	1210
74	97	1198
75	97	1187
76	98	1175
77	98	1163
78	98	1153
79	99	1144
80	99	1134
81	100	1125
82	100	1113
83	101	1105
84	101	1097
85	102	1089
86	102	1080
87	103	1072
88	103	1063
89	104	1056
90	105	1051
91	105	1044
92	106	1038
93	106	1031
94	107	1025
95	108	1018
96	108	1013
97	109	1007
98	109	1000
99	110	996
100	111	993
101	112	987
102	112	982
103	113	978
104	114	972
105	114	967
106	115	962
107	115	957
108	116	952
109	116	945
110	117	941
111	118	935
112	118	930
113	119	926
114	119	922
115	120	917
116	120	911
117	121	907
118	121	902
119	122	898
120	123	895
121	123	891
122	124	889
123	125	886
124	126	883
125	127	881
126	127	877
127	128	875
128	129	872
129	129	868
130	130	864
131	130	860
132	131	857
133	132	854
134	132	851
135	133	849
136	134	845
137	134	841
138	135	838
139	135	835
140	136	831
141	136	826
142	137	823
143	137	820
144	138	817
145	139	814
146	139	811
147	140	808
148	141	805
149	141	802
150	142	799
151	142	796
152	143	793
153	143	789
154	144	786
155	144	782
156	145	780
157	145	776
158	146	773
159	146	770
160	146	766
161	147	762
162	148	760
163	148	757
164	149	754
165	149	752
166	150	749
167	150	746
168	151	744
169	151	741
170	152	738
171	152	736
172	153	733
173	154	735
174	155	732
175	155	730
176	156	728
177	157	726
178	157	724
179	158	722
180	159	719
181	159	718
182	160	717
183	161	716
184	162	714
185	162	712
186	163	710
187	164	709
188	164	706
189	165	705
190	166	703
191	166	701
192	167	699
193	167	697
194	170	703
195	170	701
